"","x","y","xend","yend","col","lwd","lty","Cluster"
"8195",2047.625,0.349865607326921,2048.75,0.349865607326921,"#66A61E",0.7,"solid","LinearUp-5"
"8196",2048.75,0.349865607326921,2048.75,0.224186377119401,"#66A61E",0.7,"solid","LinearUp-5"
"8197",2048.75,0.224186377119401,2048,0.224186377119401,"#66A61E",0.7,"solid","LinearUp-5"
"8198",2048,0.224186377119401,2048,0,"#66A61E",0.7,"solid","LinearUp-5"
"8199",2048.75,0.224186377119401,2049.5,0.224186377119401,"#66A61E",0.7,"solid","LinearUp-5"
"8200",2049.5,0.224186377119401,2049.5,0.0975758009516733,"#66A61E",0.7,"solid","LinearUp-5"
"8201",2049.5,0.0975758009516733,2049,0.0975758009516733,"#66A61E",0.7,"solid","LinearUp-5"
"8202",2049,0.0975758009516733,2049,0,"#66A61E",0.7,"solid","LinearUp-5"
"8203",2049.5,0.0975758009516733,2050,0.0975758009516733,"#66A61E",0.7,"solid","LinearUp-5"
"8204",2050,0.0975758009516733,2050,0,"#66A61E",0.7,"solid","LinearUp-5"
"8205",2078.83471679688,0.57386110032394,2110.04443359375,0.57386110032394,"#66A61E",0.7,"solid","LinearUp-5"
"8206",2110.04443359375,0.57386110032394,2110.04443359375,0.485839593368294,"#66A61E",0.7,"solid","LinearUp-5"
"8207",2110.04443359375,0.485839593368294,2066.328125,0.485839593368294,"#66A61E",0.7,"solid","LinearUp-5"
"8208",2066.328125,0.485839593368294,2066.328125,0.371436227584389,"#66A61E",0.7,"solid","LinearUp-5"
"8209",2066.328125,0.371436227584389,2058.34375,0.371436227584389,"#66A61E",0.7,"solid","LinearUp-5"
"8210",2058.34375,0.371436227584389,2058.34375,0.276616490552185,"#66A61E",0.7,"solid","LinearUp-5"
"8211",2058.34375,0.276616490552185,2054.1875,0.276616490552185,"#66A61E",0.7,"solid","LinearUp-5"
"8212",2054.1875,0.276616490552185,2054.1875,0.143307391160743,"#66A61E",0.7,"solid","LinearUp-5"
"8213",2054.1875,0.143307391160743,2052.5,0.143307391160743,"#66A61E",0.7,"solid","LinearUp-5"
"8214",2052.5,0.143307391160743,2052.5,0.0774032146180417,"#66A61E",0.7,"solid","LinearUp-5"
"8215",2052.5,0.0774032146180417,2051.5,0.0774032146180417,"#66A61E",0.7,"solid","LinearUp-5"
"8216",2051.5,0.0774032146180417,2051.5,0.030366351782228,"#66A61E",0.7,"solid","LinearUp-5"
"8217",2051.5,0.030366351782228,2051,0.030366351782228,"#66A61E",0.7,"solid","LinearUp-5"
"8218",2051,0.030366351782228,2051,0,"#66A61E",0.7,"solid","LinearUp-5"
"8219",2051.5,0.030366351782228,2052,0.030366351782228,"#66A61E",0.7,"solid","LinearUp-5"
"8220",2052,0.030366351782228,2052,0,"#66A61E",0.7,"solid","LinearUp-5"
"8221",2052.5,0.0774032146180417,2053.5,0.0774032146180417,"#66A61E",0.7,"solid","LinearUp-5"
"8222",2053.5,0.0774032146180417,2053.5,0.0639286595371671,"#66A61E",0.7,"solid","LinearUp-5"
"8223",2053.5,0.0639286595371671,2053,0.0639286595371671,"#66A61E",0.7,"solid","LinearUp-5"
"8224",2053,0.0639286595371671,2053,0,"#66A61E",0.7,"solid","LinearUp-5"
"8225",2053.5,0.0639286595371671,2054,0.0639286595371671,"#66A61E",0.7,"solid","LinearUp-5"
"8226",2054,0.0639286595371671,2054,0,"#66A61E",0.7,"solid","LinearUp-5"
"8227",2054.1875,0.143307391160743,2055.875,0.143307391160743,"#66A61E",0.7,"solid","LinearUp-5"
"8228",2055.875,0.143307391160743,2055.875,0.126388911927957,"#66A61E",0.7,"solid","LinearUp-5"
"8229",2055.875,0.126388911927957,2055,0.126388911927957,"#66A61E",0.7,"solid","LinearUp-5"
"8230",2055,0.126388911927957,2055,0,"#66A61E",0.7,"solid","LinearUp-5"
"8231",2055.875,0.126388911927957,2056.75,0.126388911927957,"#66A61E",0.7,"solid","LinearUp-5"
"8232",2056.75,0.126388911927957,2056.75,0.0614788150010126,"#66A61E",0.7,"solid","LinearUp-5"
"8233",2056.75,0.0614788150010126,2056,0.0614788150010126,"#66A61E",0.7,"solid","LinearUp-5"
"8234",2056,0.0614788150010126,2056,0,"#66A61E",0.7,"solid","LinearUp-5"
"8235",2056.75,0.0614788150010126,2057.5,0.0614788150010126,"#66A61E",0.7,"solid","LinearUp-5"
"8236",2057.5,0.0614788150010126,2057.5,0.0487947372841923,"#66A61E",0.7,"solid","LinearUp-5"
